Airline_Name,Airline_Symbol,Average_TaxiOut,Average_Cost_of_Delay_perFlight,Av_Kg_of_Co2_perFlight,tot_n_flights,Average_Cost_of_Delay,Av_Kg_of_Co2
US Airways Inc.,US,18.998512019688707,569.95536059066126,759.94048078754827,194223,110698440.0,147597920.0
Skywest Airlines Inc.,OO,18.137853796891239,544.13561390673715,725.51415187564953,576814,313865040.00000066,418486720.00000089
JetBlue Airways,B6,17.863403576525979,535.90210729577939,714.53614306103918,262042,140428860.00000063,187238480.00000083
American Airlines Inc.,AA,17.760880024125669,532.82640072377012,710.43520096502675,712935,379870590.00000107,506494120.00000137
Delta Air Lines Inc.,DL,17.60270833931806,528.08125017954183,704.10833357272236,870275,459575910.00000077,612767880.000001
United Air Lines Inc.,UA,17.407923397182103,522.237701915463,696.3169358872841,507762,265172459.99999934,353563279.99999917
Atlantic Southeast Airlines,EV,16.73069587851867,501.9208763555601,669.22783514074683,554752,278441609.9999997,371255479.99999958
American Eagle Airlines Inc.,MQ,16.540659490442643,496.2197847132793,661.62637961770565,278791,138341609.99999985,184455479.99999976
Frontier Airlines Inc.,F9,15.670806970806968,470.124209124209,626.83227883227869,90090,42353489.999999993,56471319.999999985
Alaska Airlines Inc.,AS,15.092732692094566,452.781980762837,603.70930768378264,171439,77624490.000000015,103499320.00000001
Virgin America,VX,14.743534482758628,442.30603448275883,589.74137931034511,61248,27090360.000000011,36120480.000000015
Spirit Air Lines,NK,14.600730947192975,438.02192841578926,584.029237887719,115193,50457060.000000015,67276080.000000015
Southwest Airlines Co.,WN,11.940594959928484,358.21784879785451,477.62379839713935,1242403,445050930.00000083,593401240.00000107
Hawaiian Airlines Inc.,HA,10.950500387948594,328.51501163845785,438.02001551794376,76041,24980609.999999974,33307479.999999963